1911,0.304,0.009,0.223,0.05,-0.735,-1.552,-1.258,-1.415,-0.875,-1.3,-0.806,-0.268,-0.635
1912,-1.114,-1.827,-1.143,-2.27,-1.122,-0.991,-0.049,-0.942,-0.397,-0.973,0.125,-1.009,-0.976
1913,-0.41,-0.627,0.008,-0.794,-0.565,-0.596,-0.124,-0.92,-0.95,-1.018,-1.249,-0.892,-0.678
1914,-0.737,0.185,0.88,-2.27,-1.213,-2.639,-0.974,-1.84,-1.474,-0.729,-0.47,0.169,-0.926
1915,-2.711,-0.594,-2.495,-1.49,1.216,2.68,2.528,1.298,1.344,0.948,-1.743,0.991,0.164
1916,0.561,-0.524,-0.835,0.008,0.432,0.746,2.574,1.513,0.417,0.359,0.774,1.623,0.637
1917,0.457,0.984,1.862,2.581,2.397,2.389,2.827,3.483,2.843,1.512,1.933,2.397,2.139
1918,1.459,1.583,-0.389,2.074,1.088,-0.783,-1.379,-0.642,-0.852,-0.621,0.021,-1.004,0.046
1919,-1.621,-1.194,-1.565,-0.372,-0.955,-1.463,-0.87,-0.9,-0.592,-1.255,-1.229,-1.116,-1.094
1920,0.176,-0.292,-0.626,-0.098,-0.398,0.399,0.922,0.442,0.468,-0.687,-0.194,0.991,0.092
1921,1.091,0.585,1.072,-1.279,-0.011,4.073,0.29,-0.878,0.456,0.974,0.758,0.815,0.662
1922,0.785,0.773,0.481,-0.688,-0.762,0.449,0.233,-0.276,0.463,0.551,0.758,1.207,0.331
1923,0.561,0.336,0.844,0.809,-0.011,-0.174,-1.115,-2.14,-1.457,-0.721,-1.407,0.13,-0.362
1924,-0.681,0.006,0.111,-1.954,1.189,0.845,0.781,0.882,0.744,0.626,1.022,0.482,0.338
1925,0.544,1.224,1.522,1.484,-0.297,-0.819,-1.313,-1.241,-0.657,-1.496,-0.968,-0.892,-0.242
1926,-0.619,-1.556,-1.646,-0.752,-0.284,-1.047,-0.086,-0.92,0.117,0.244,0.071,0.587,-0.491
1927,0.513,0.006,1.841,0.746,0.624,0.913,0.167,-0.749,-0.073,-0.55,-0.914,0.747,0.272
1928,-1.219,0.955,1.376,1.442,-0.085,-1.151,-0.02,0.795,0.744,0.766,0.212,1.204,0.418
1929,1.738,1.686,0.407,0.577,-1.2,0.064,0.207,-0.17,-0.073,0.803,0.952,0.531,0.46
1930,1.306,0.684,0.039,-0.33,0.472,-0.839,-0.399,-0.385,-0.719,0.461,0.304,-0.271,0.027
1931,0.632,-1.606,0.445,1.104,1.659,2.232,0.979,-0.504,0.353,-1.002,-0.368,0.806,0.394
1932,0.207,-0.359,-0.723,-2.755,0.087,-0.263,-1.522,-0.9,-0.863,-0.687,-0.612,0.25,-0.678
1933,-1.219,0.339,-0.347,0.472,0.738,-0.679,0.376,-0.234,0.168,0.174,0.53,0.811,0.094
1934,0.618,-0.061,-0.117,0.641,-0.756,1.121,0.299,-2.444,-0.644,0.381,1.213,-0.38,-0.011
1935,0.641,-0.558,1.205,0.366,-0.464,-0.423,-0.02,0.001,0.59,0.596,0.303,-0.555,0.14
1936,-0.305,-0.044,0.052,2.813,0.267,-0.367,0.431,-0.996,0.232,-0.112,-1.548,-0.035,0.032
1937,0.946,-0.594,0.555,0.176,0.194,0.221,-0.531,0.204,0.042,-0.394,-0.456,0.643,0.084
1938,0.754,0.208,-0.552,0.387,1.176,2.009,1.867,1.243,0.686,1.367,-0.071,1.423,0.875
1939,1.739,0.656,1.14,1.126,-0.098,-0.367,0.839,-0.108,-0.95,-1.707,-0.964,-1.072,0.019
1940,-0.056,-0.56,-1.335,-0.941,-1.393,-2.488,-1.502,-2.11,-1.947,-1.801,-0.773,-3.38,-1.524
1941,-1.131,-1.6,-1.333,-1.195,-0.749,-1.888,-1.997,-2.197,-0.826,-2.286,-1.092,-1.068,-1.447
1942,-1.508,-0.515,-0.799,-0.52,0.247,0.797,-0.078,0.298,0.815,0.696,-0.642,1.424,0.018
1943,0.879,0.913,0.291,1.589,0.252,-1.127,0.302,0.691,0.527,0.794,0.215,-1.055,0.356
1944,-0.953,0.3,0.464,-0.541,0.015,-0.608,-0.848,0.13,0.217,-1.03,-0.836,0.364,-0.277
1945,0.434,0.535,1.33,-0.731,0.023,0.797,0.39,1.063,0.802,0.211,-0.447,0.633,0.42
1946,-0.325,0.294,-0.385,-1.026,-1.192,-1.323,-0.985,-0.635,-1.575,-1.384,-0.248,-0.714,-0.792
1947,-0.633,-0.564,1.127,-0.562,-1.243,0.165,0.979,0.657,1.097,-0.351,0.753,0.471,0.158
1948,-0.429,-0.406,-0.6,0.261,0.345,-0.759,0.095,-0.546,-0.76,0.537,0.186,-0.719,-0.233
1949,-0.862,0.05,0.494,0.282,-0.684,-1.599,-0.149,-0.635,0.169,0.385,-0.766,0.769,-0.212
