1890.5,-0.911379
1890.5834,-1.33992
1890.6666,-1.3227
1890.75,-1.09671
1890.8334,-0.970255
1890.9166,-0.600857
1891,-0.335218
1891.0834,-6.76E-02
1891.1666,-2.16E-02
1891.25,4.95E-02
1891.3334,2.10E-02
1891.4166,-2.70E-02
1891.5,-0.207109
1891.5834,-9.87E-02
1891.6666,-0.144468
1891.75,1.38E-03
1891.8334,0.109205
1891.9166,4.60E-02
1892,-0.379078
1892.0834,-0.250362
1892.1666,-0.489481
1892.25,-0.643457
1892.3334,-0.412739
1892.4166,-0.472614
1892.5,-0.599539
1892.5834,-0.684206
1892.6666,-1.02779
1892.75,-1.29526
1892.8334,-1.24311
1892.9166,-0.651646
1893,-0.463089
1893.0834,-0.484552
1893.1666,-0.711451
1893.25,-1.04912
1893.3334,-1.13171
1893.4166,-1.22054
1893.5,-1.53552
1893.5834,-1.46591
1893.6666,-1.39973
1893.75,-1.35773
1893.8334,-1.20169
1893.9166,-0.981186
1894,-1.05516
1894.0834,-1.20046
1894.1666,-1.0222
1894.25,-0.906626
1894.3334,-0.908009
1894.4166,-0.841784
1894.5,-0.800499
1894.5834,-0.652895
1894.6666,-1.07708
1894.75,-0.819408
1894.8334,-0.824175
1894.9166,-0.481827
1895,-0.653627
1895.0834,-0.420042
1895.1666,-0.407381
1895.25,-0.340027
1895.3334,-0.335428
1895.4166,-0.430754
1895.5,-0.37735
1895.5834,0.190044
1895.6666,0.10111
1895.75,-8.64E-02
1895.8334,0.116655
1895.9166,0.130875
1896,-3.69E-02
1896.0834,-0.110302
1896.1666,7.61E-02
1896.25,-5.24E-02
1896.3334,1.82E-02
1896.4166,-0.307194
1896.5,0.30937
1896.5834,0.685465
1896.6666,0.673601
1896.75,0.569462
1896.8334,0.699986
1896.9166,0.733803
1897,0.717701
1897.0834,0.594236
1897.1666,0.273678
1897.25,-0.128986
1897.3334,-0.165209
1897.4166,-0.109783
1897.5,8.65E-02
1897.5834,0.105755
1897.6666,4.98E-02
1897.75,-0.312458
1897.8334,-0.532333
1897.9166,-0.465397
1898,-0.584688
1898.0834,-0.456623
1898.1666,-0.473482
1898.25,-0.254436
1898.3334,-0.394548
1898.4166,-0.315544
1898.5,-0.444569
1898.5834,-0.655327
1898.6666,-0.480049
1898.75,-0.300768
1898.8334,-0.556324
1898.9166,-0.713387
1899,-0.889198
1899.0834,-0.768164
1899.1666,-0.633741
1899.25,-0.367496
1899.3334,-0.176409
1899.4166,-0.246454
1899.5,2.95E-02
1899.5834,0.224014
1899.6666,1.13E-02
1899.75,0.643633
1899.8334,0.884296
1899.9166,1.01121
1900,0.760653
1900.0834,0.620506
1900.1666,0.543699
1900.25,0.470922
1900.3334,0.360252
1900.4166,0.319607
1900.5,0.386471
1900.5834,0.453924
1900.6666,0.371471
1900.75,0.420992
1900.8334,0.329386
1900.9166,0.675823
1901,0.719822
1901.0834,0.286926
1901.1666,0.188848
1901.25,0.145594
1901.3334,-6.48E-04
1901.4166,-0.202213
1901.5,-0.15814
1901.5834,-2.03E-02
1901.6666,-0.294319
1901.75,-0.201029
1901.8334,-0.318745
1901.9166,-0.286097
1902,-0.406008
1902.0834,-0.204113
1902.1666,-0.342171
1902.25,0.291073
1902.3334,0.578182
1902.4166,0.581686
1902.5,0.730841
1902.5834,0.630465
1902.6666,0.977161
1902.75,0.821093
1902.8334,0.769686
1902.9166,0.582884
1903,0.738661
1903.0834,0.864807
1903.1666,0.738119
1903.25,0.466063
1903.3334,0.144043
1903.4166,0.528696
1903.5,-9.13E-02
1903.5834,0.282654
1903.6666,-0.116879
1903.75,-0.106049
1903.8334,-0.253263
1903.9166,-0.445797
1904,-0.827127
1904.0834,-0.499332
1904.1666,-0.396851
1904.25,-0.293596
1904.3334,-0.530027
1904.4166,-0.122143
1904.5,0.180851
1904.5834,0.247784
1904.6666,7.85E-02
1904.75,0.588432
1904.8334,-0.185074
1904.9166,0.579245
1905,0.431313
1905.0834,0.719088
1905.1666,0.606289
1905.25,0.375433
1905.3334,0.681322
1905.4166,0.341587
1905.5,0.745621
1905.5834,0.752644
1905.6666,1.11557
1905.75,0.568441
1905.8334,0.502066
1905.9166,0.669844
1906,0.241302
1906.0834,0.422888
1906.1666,0.888798
1906.25,0.339264
1906.3334,5.30E-02
1906.4166,0.106436
1906.5,2.94E-02
1906.5834,0.262983
1906.6666,-0.611359
1906.75,-0.661777
1906.8334,-2.22E-02
1906.9166,-0.209187
1907,-0.230099
1907.0834,-0.163702
1907.1666,-0.233131
1907.25,-0.293936
1907.3334,-0.193178
1907.4166,-0.117304
1907.5,-0.24811
1907.5834,-0.123655
1907.6666,3.51E-02
1907.75,-0.429798
1907.8334,-0.163303
1907.9166,-0.151516
1908,-0.312288
1908.0834,-2.14E-02
1908.1666,-0.321791
1908.25,-0.182676
1908.3334,-8.68E-02
1908.4166,-0.396994
1908.5,-0.499619
1908.5834,-0.344566
1908.6666,-0.335939
1908.75,-0.412197
1908.8334,-0.664175
1908.9166,-0.763447
1909,-0.388819
1909.0834,-0.592472
1909.1666,-0.392771
1909.25,-0.349417
1909.3334,1.91E-02
1909.4166,-0.708612
1909.5,-0.761389
1909.5834,-0.887436
1909.6666,-0.678358
1909.75,-1.00115
1909.8334,-1.08155
1909.9166,-0.817905
1910,-0.954967
1910.0834,-0.700262
1910.1666,-0.821512
1910.25,-1.09538
1910.3334,-1.03748
1910.4166,-1.08341
1910.5,-0.94548
1910.5834,-0.888126
1910.6666,-1.22201
1910.75,-1.03222
1910.8334,-0.814533
1910.9166,-0.718866
1911,-0.507059
1911.0834,-0.424744
1911.1666,-0.682081
1911.25,-0.916916
1911.3334,-0.587057
1911.4166,-0.758654
1911.5,-0.58345
1911.5834,-0.846306
1911.6666,-0.429529
1911.75,-0.332039
1911.8334,0.354786
1911.9166,1.87E-02
1912,0.567251
1912.0834,0.490328
1912.1666,0.530619
1912.25,0.499453
1912.3334,-0.155407
1912.4166,-0.142904
1912.5,4.35E-02
1912.5834,-0.147566
1912.6666,-2.59E-02
1912.75,-0.215757
1912.8334,-6.05E-02
1912.9166,-0.379356
1913,-0.353027
1913.0834,0.213186
1913.1666,0.190319
1913.25,-0.350996
1913.3334,-0.274029
1913.4166,-0.450743
1913.5,-0.51623
1913.5834,-0.454737
1913.6666,-4.63E-02
1913.75,-0.265457
1913.8334,0.115147
1913.9166,0.171885
1914,1.57E-02
1914.0834,0.486156
1914.1666,0.237349
1914.25,0.508894
1914.3334,0.189861
1914.4166,4.40E-02
1914.5,0.22743
1914.5834,0.525503
1914.6666,0.328051
1914.75,0.215992
1914.8334,0.194777
1914.9166,0.347883
1915,0.486101
1915.0834,0.565147
1915.1666,0.495239
1915.25,0.408613
1915.3334,0.449041
1915.4166,0.683767
1915.5,0.20936
1915.5834,0.181793
1915.6666,0.211721
1915.75,0.311852
1915.8334,-2.53E-03
